Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2022-12-29,16642.341796875,16636.19516970744,-0.1497926968656591,16945.7095703125,16821.52357421875,0.016306369773829658,0,0.0,0.0,2.0,1.0,0.0,0.8728057780337659,0.9904257720601003,0.0
2022-12-30,16602.5859375,16600.603300925875,-0.0740437586459644,16919.40263671875,16801.83986328125,0.016305991217520136,0,0.0,-0.0,2.0,1.0,-0.0,0.8707207863783419,0.9904257720601003,-0.0
2022-12-31,16547.49609375,16544.68968808315,-0.3178865313141759,16891.5677734375,16792.10392578125,0.016311445050797853,0,0.0,-0.0,2.0,1.0,-0.0,0.867831605605417,0.9904257720601003,-0.0
2023-01-01,16625.080078125,16621.938364835893,-0.4216021052112188,16862.49990234375,16788.62181640625,0.01628275282769932,0,0.0,0.0,2.0,1.0,0.0,0.8719004890998118,0.9904257720601003,0.0
2023-01-02,16688.470703125,16688.15318235961,-0.2732465062403033,16807.85751953125,16795.32392578125,0.014137902179375094,0,0.0,0.0,2.0,1.0,0.0,0.8752250034288926,0.9904257720601003,0.0
2023-01-03,16679.857421875,16677.18042802546,-0.1793845578254643,16751.06787109375,16796.55708984375,0.01410288766219089,0,0.0,-0.0,2.0,1.0,-0.0,0.8747732808447404,0.9904257720601003,-0.0
2023-01-04,16863.23828125,16860.115866120625,0.0555512883061738,16725.9865234375,16796.12958984375,0.013427178880636641,0,0.0,0.0,2.0,1.0,0.0,0.8843906697673349,0.9904257720601003,0.0
2023-01-05,16836.736328125,16836.779545560647,-0.1903196166160165,16735.44912109375,16799.47552734375,0.009602171121622328,0,0.0,-0.0,2.0,1.0,-0.0,0.8830007777618106,0.9904257720601003,-0.0
2023-01-06,16951.96875,16950.41528990976,-0.1528381246458126,16743.29296875,16804.76455078125,0.00952093285607066,0,0.0,0.0,2.0,1.0,0.0,0.8890441294040783,0.9904257720601003,0.0
2023-01-07,16955.078125,16954.366384083984,-0.5011292785214068,16753.148046875,16809.91056640625,0.009499994619681316,0,0.0,0.0,2.0,1.0,0.0,0.8892072002326431,0.9904257720601003,0.0
2023-01-08,17091.14453125,17088.963532309746,-0.394333888185633,16785.7212890625,16817.50251953125,0.008422962446701484,0,0.0,0.0,2.0,1.0,0.0,0.8963431878851493,0.9904257720601003,0.0
2023-01-09,17196.5546875,17193.81040494734,0.0661053942997104,16800.2337890625,16835.59697265625,0.00582007010083981,0,0.0,0.0,2.0,1.0,0.0,0.9018714118912035,0.9904257720601003,0.0
2023-01-10,17446.29296875,17444.31071560096,-0.0803256771041835,16831.6716796875,16868.7771484375,0.006378696119611559,0,0.0,0.0,2.0,1.0,0.0,0.9149689084774201,0.9904257720601003,0.0
2023-01-11,17934.896484375,17930.855808913846,0.0529797719058712,16886.8994140625,16903.6796875,0.008640701480419285,0,0.0,0.0,2.0,1.0,0.0,0.9405936659070018,0.9904257720601003,0.0
2023-01-12,18869.587890625,18858.303553763875,0.9160032043291548,16990.53115234375,16948.8573046875,0.013833820321925492,0,0.0,0.0,2.2,1.0,0.0,0.9896134535072476,0.9904257720601003,0.0
2023-01-13,19909.57421875,19895.974420818384,0.6172392474494296,17143.6220703125,17014.9594921875,0.017639362327327924,0,0.0,0.0,2.2,0.5,0.0,1.044155421659474,0.9904257720601003,0.0
2023-01-14,20976.298828125,20961.817117415354,1.1237877136340593,17350.3376953125,17104.0486328125,0.02015373308405816,0,0.0,0.0,2.2,0.5,0.0,1.1000996760196469,0.9904257720601003,0.0
2023-01-15,20880.798828125,20883.93381375136,0.1011310980225613,17548.38740234375,17192.378984375,0.02041462159456636,1,0.0,-0.0,2.0,0.5,-0.0,1.0950911890639303,0.9904257720601003,-0.0
2023-01-16,21169.6328125,21167.7552232623,0.4907660674953339,17771.0103515625,17286.8791015625,0.019704815852613935,0,1.0,0.030431535251855827,2.2,0.5,0.015215767625927914,1.1102390554839283,1.005495860458497,0.013832516023570829
